Algoritmo;Melhor Custo;Pior Custo;Custo Medio;Tempo Medio;Iteracoes Medias;Taxa Sucesso
Hill-Climbing;112;112;112.0000;0.30118081;200.0;1.00
Simulated Annealing;112;112;112.0000;0.60507799;400.0;1.00
